,Name,Mileage,Condition,Year,Price,Dealer,Count of ratings,Reviews
209,2019 Hyundai Kona SE,18767.0,Used,2019,23981,Kendall Ford of Eugene,1074 ,4.3
210,2019 Nissan Murano SL,29629.0,Used,2019,27995,BMW of Idaho Falls,48 ,5.0
211,2022 INFINITI QX60 SENSORY,8000.0,Used,2022,56490,Suburban Buick GMC Cadillac,496 ,3.2
212,2012 INFINITI G37 Base,111383.0,Used,2012,18998,CarMax Oklahoma City - Now offering Curbside Pickup and Home Delivery,3 ,No names
213,2021 BMW 228 Gran Coupe i xDrive,43853.0,Used,2021,31856,McLarty Daniel Buick GMC,948 ,4.8
214,2013 INFINITI IPL G Base,83858.0,Used,2013,22995,Central A/S LLC,26 ,3.4
215,2019 Ford Transit-150 Base,7156.0,Used,2019,69988,Martin Auto Gallery,39 ,4.4
216,2016 Dodge Dart SXT,56909.0,Used,2016,14068,Ken Garff West Valley Chrysler Jeep Dodge Ram Fiat,670 ,4.1
217,2010 Cadillac CTS-V Base,63319.0,Used,2010,38500,Lake View Ford Inc.,39 ,4.2
218,2023 GMC Yukon SLT,2280.0,Used,2023,77500,Rickenbaugh Cadillac Volvo Cars,2659 ,4.6
219,2012 Maserati GranTurismo S Automatic,78405.0,Used,2012,34950,Overland Park Imports,89 ,2.4
220,2019 Nissan Titan S,30876.0,Used,2019,37550,Causeway Ford Lincoln,879 ,4.7
221,2016 BMW 535 i xDrive,71641.0,Used,2016,22999,CarVision Nissan,394 ,4.5
222,2017 Maserati Levante S,34515.0,Used,2017,41988,Definitive Motors,109 ,3.9
223,2022 Volvo XC90 Recharge Plug-In Hybrid T8 R-Design 7 Passenger,12676.0,Used,2022,74500,Rickenbaugh Cadillac Volvo Cars,2659 ,4.6
224,2022 McLaren GT Base,2062.0,Used,2022,259000,Sale Auto Mall,44 ,4.5
225,2018 BMW X5 M Base,32180.0,Used,2018,63846,AutoNation Chrysler Dodge Jeep Ram South Columbus,504 ,4.5
226,2020 Mazda Mazda6 Grand Touring Reserve,15203.0,Used,2020,31663,Garber Chevrolet Subaru,256 ,4.8
227,2021 Nissan Kicks SR,16687.0,Nissan Certified,2021,30485,Byerly Nissan,684 ,4.9
228,1994 Porsche 928 GTS,67811.0,Used,1994,79890,Auto By Design,301 ,4.4
229,2017 Lincoln MKZ Reserve,58020.0,Used,2017,23500,"Jaguar, Land Rover, Volvo Cars of Indianapolis",433 ,4.3
230,2014 Mercedes-Benz GLK-Class GLK 350 4MATIC,131803.0,Used,2014,14989,AutoNation Volkswagen Columbus,188 ,4.4
231,2021 Jeep Grand Cherokee L Limited,15521.0,Used,2021,43629,Hebert's Town & Country Chrysler Dodge Jeep RAM,1784 ,4.8
232,2020 Audi SQ5 3.0T Premium,30218.0,Used,2020,46981,Desert European Motorcars,281 ,3.9
233,2017 Honda Accord Sport,70857.0,Used,2017,20998,Don Thornton Volkswagen of Tulsa,281 ,3.8
234,2021 BMW M340 i xDrive,10155.0,Used,2021,53598,AutoNation Toyota Arapahoe,3076 ,4.5
235,2018 Volvo V90 Cross Country T5,70520.0,Used,2018,30994,Metro Ford Sales & Service,227 ,4.5
236,2022 Jeep Wagoneer Series III,13072.0,Used,2022,76000,Premier Dodge Chrysler Jeep RAM,167 ,3.9
237,2019 Lexus GX 460 Base,28796.0,Used,2019,39995,Automotive Avenues,1544 ,4.8
238,2012 Mitsubishi Lancer Evolution GSR,62286.0,Used,2012,28791,Midwest Motors,137 ,4.6
239,2020 Chrysler Pacifica Hybrid Limited,32882.0,Used,2020,42988,Chris Nikel Chrysler Jeep Dodge Ram Fiat,1236 ,4.8
240,2010 Hyundai Genesis Coupe 3.8,22929.0,Used,2010,17995,"Car Town USA, Inc.",36 ,4.7
241,2021 BMW 540 i,21964.0,Used,2021,48000,Grubbs Acura,92 ,4.2
242,2003 Porsche 911 Targa,110196.0,Used,2003,24995,San Diego eCars Inc.,6 ,No names
243,2017 Mercedes-Benz C-Class C 300,69854.0,Used,2017,24814,Landers Toyota of Northwest Arkansas,7428 ,4.6
244,2012 Mercedes-Benz GL-Class GL 450 4MATIC,52051.0,Used,2012,20900,Auto X-Change,23 ,1.4
245,2018 Audi A5 2.0T Prestige,105869.0,Used,2018,26492,Nissan of Jefferson City,1370 ,4.6
246,2008 Audi TT 3.2 Cabriolet quattro,86735.0,Used,2008,14900,Auto X-Change,23 ,1.4
247,2020 BMW X4 M Competition,5622.0,Used,2020,67968,Hendrick Southpoint Auto Mall,816 ,4.8
248,2022 Mitsubishi Outlander Sport 2.0 LE,8400.0,Used,2022,22872,RC Hill Mitsubishi-DeLand,3254 ,4.9
249,2006 Cadillac DTS ,39260.0,Used,2006,8995,Showcase Auto Sales LLC,194 ,2.2
